ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date,earliest_version,latest_version
4443,CVE-2021-1984,2021,10,10/5/21,,A-190403732,,,High,,Closed-source component,,"Possible buffer overflow due to improper validation of index value while processing the plugin block in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,2021-10-20T07:15:08.143,2021-10-26T18:35:01.510,CWE-120,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2021-10-01,,
4444,CVE-2021-1985,2021,10,10/5/21,,A-190404406,,,High,,Closed-source component,,"Possible buffer over read due to lack of data length check in QVR Service configuration in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,2021-10-20T07:15:08.207,2021-10-26T18:36:11.550,CWE-125,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,HIGH,7.1,HIGH,Out-of-bounds Read,2021-10-01,,
4445,CVE-2021-30256,2021,10,10/5/21,,A-190404960,,,High,,Closed-source component,,"Possible stack overflow due to improper validation of camera name length before copying the name in VR Service in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT",,2021-10-20T07:15:08.270,2021-10-26T18:37:46.713,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2021-10-01,,
4446,CVE-2021-30257,2021,10,10/5/21,,A-190403214,,,High,,Closed-source component,,"Possible out of bound read or write in VR service due to lack of validation of DSP selection values in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT",,2021-10-20T07:15:08.327,2021-10-26T18:39:20.760,CWE-125,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Read,2021-10-01,,
4446,CVE-2021-30257,2021,10,10/5/21,,A-190403214,,,High,,Closed-source component,,"Possible out of bound read or write in VR service due to lack of validation of DSP selection values in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT",,2021-10-20T07:15:08.327,2021-10-26T18:39:20.760,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2021-10-01,,
4447,CVE-2021-30258,2021,10,10/5/21,,A-190404449,,,High,,Closed-source component,,"Possible buffer overflow due to improper size calculation of payload received in VR service in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,2021-10-20T07:15:08.383,2021-10-26T18:40:32.527,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2021-10-01,,
4449,CVE-2021-30291,2021,10,10/5/21,,A-190404407,,,High,,Closed-source component,,"Possible memory corruption due to lack of validation of client data used for memory allocation in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,2021-10-20T07:15:08.507,2021-10-26T18:42:02.077,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2021-10-01,,
4450,CVE-2021-30292,2021,10,10/5/21,,A-190404329,,,High,,Closed-source component,,"Possible memory corruption due to lack of validation of client data used for memory allocation in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,2021-10-20T07:15:08.563,2021-10-26T18:42:55.330,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2021-10-01,,
4451,CVE-2021-30297,2021,10,10/5/21,,A-190403733,,,High,,Closed-source component,,"Possible out of bound read due to improper validation of packet length while handling data transfer in VR service in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",,2021-10-20T07:15:08.623,2021-10-26T18:44:51.597,CWE-120,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,HIGH,7.1,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2021-10-01,,
4471,CVE-2020-11204,2021,3,3/5/21,,A-162750025,,,Critical,,Closed-source component,,"Possible memory corruption and information leakage in sub-system due to lack of check for validity and boundary compliance for parameters that are read from shared MSG RAM in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2021-02-22T07:15:14.033,2021-07-21T11:39:23.747,CWE-20,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Input Validation,2021-03-01,,
4471,CVE-2020-11204,2021,3,3/5/21,,A-162750025,,,Critical,,Closed-source component,,"Possible memory corruption and information leakage in sub-system due to lack of check for validity and boundary compliance for parameters that are read from shared MSG RAM in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2021-02-22T07:15:14.033,2021-07-21T11:39:23.747,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2021-03-01,,
4570,CVE-2021-30269,2021,12,12/5/21,,A-190403511,,,High,,Closed-source component,,"Possible null pointer dereference due to lack of TLB validation for user provided address in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",,2022-01-03T08:15:07.897,2022-01-12T17:03:18.357,CWE-476,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,NULL Pointer Dereference,2021-12-01,,
4571,CVE-2021-30270,2021,12,12/5/21,,A-190402575,,,High,,Closed-source component,,"Possible null pointer dereference in thread profile trap handler due to lack of thread ID validation before dereferencing it in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2022-01-03T08:15:07.957,2022-01-12T16:09:29.837,CWE-476,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,NULL Pointer Dereference,2021-12-01,,
4572,CVE-2021-30271,2021,12,12/5/21,,A-190404402,,,High,,Closed-source component,,"Possible null pointer dereference in trap handler due to lack of thread ID validation before dereferencing it in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2022-01-03T08:15:08.017,2022-01-12T16:18:09.963,CWE-476,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,NULL Pointer Dereference,2021-12-01,,
4573,CVE-2021-30272,2021,12,12/5/21,,A-190404323,,,High,,Closed-source component,,"Possible null pointer dereference in thread cache operation handler due to lack of validation of user provided input in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",,2022-01-03T08:15:08.073,2022-01-12T16:39:40.190,CWE-476,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,NULL Pointer Dereference,2021-12-01,,
4619,CVE-2021-1923,2021,9,9/5/21,,A-179039984,,,High,,Closed-source component,,"Incorrect pointer argument passed to trusted application TA could result in un-intended memory operations in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT",,2021-09-08T12:15:08.020,2021-09-14T23:01:43.230,CWE-704,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Incorrect Type Conversion or Cast,2021-09-01,,
4631,CVE-2021-0507,2021,6,6/1/21,,A-181860042,"https://android.googlesource.com/platform/system/bt/+/4deeb022c7efe39e9ce34d9373ba900d9ed2741f"" rel=""noreferrer",RCE,Critical,"8.1, 9, 10, 11",,,"In handle_rc_metamsg_cmd of btif_rc.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11 Android-8.1 Android-9 Android-10Android ID: A-181860042","Android-11, Android-8, Android-9, Android-10",2021-06-21T17:15:08.277,2021-06-22T20:55:14.687,CWE-787,cvssMetricV31,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.8,HIGH,Out-of-bounds Write,2021-06-01,8.1,11
4632,CVE-2021-0516,2021,6,6/1/21,,A-181660448,"https://android.googlesource.com/platform/external/wpa_supplicant_8/+/13c4cdae55e840a1a47e57e19bfa59135358b8ca"" rel=""noreferrer",EoP,Critical,"8.1, 9, 10, 11",,,"In p2p_process_prov_disc_req of p2p_pd.c, there is a possible out of bounds read and write due to a use after free. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11 Android-8.1 Android-9 Android-10Android ID: A-181660448","Android-11, Android-8, Android-9, Android-10",2021-06-21T17:15:08.550,2021-06-23T18:01:51.797,CWE-125,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Read,2021-06-01,8.1,11
4632,CVE-2021-0516,2021,6,6/1/21,,A-181660448,"https://android.googlesource.com/platform/external/wpa_supplicant_8/+/13c4cdae55e840a1a47e57e19bfa59135358b8ca"" rel=""noreferrer",EoP,Critical,"8.1, 9, 10, 11",,,"In p2p_process_prov_disc_req of p2p_pd.c, there is a possible out of bounds read and write due to a use after free. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11 Android-8.1 Android-9 Android-10Android ID: A-181660448","Android-11, Android-8, Android-9, Android-10",2021-06-21T17:15:08.550,2021-06-23T18:01:51.797,CWE-416,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Use After Free,2021-06-01,8.1,11
4632,CVE-2021-0516,2021,6,6/1/21,,A-181660448,"https://android.googlesource.com/platform/external/wpa_supplicant_8/+/13c4cdae55e840a1a47e57e19bfa59135358b8ca"" rel=""noreferrer",EoP,Critical,"8.1, 9, 10, 11",,,"In p2p_process_prov_disc_req of p2p_pd.c, there is a possible out of bounds read and write due to a use after free. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11 Android-8.1 Android-9 Android-10Android ID: A-181660448","Android-11, Android-8, Android-9, Android-10",2021-06-21T17:15:08.550,2021-06-23T18:01:51.797,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2021-06-01,8.1,11
4683,CVE-2020-0064,2020,5,5/5/20,,"A-149866855,M-ALPS04737871",,ID,High,,Omacp,,An improper authorization while processing the provisioning data.Product: AndroidVersions: Android SoCAndroid ID: A-149866855,,2020-05-14T21:15:11.570,2021-07-21T11:39:23.747,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,,2020-05-01,,
4684,CVE-2020-0065,2020,5,5/5/20,,"A-149813448,M-ALPS04886658",,ID,High,,Android suite daemon,,An improper authorization in the receiver component of the Android Suite Daemon.Product: AndroidVersions: Android SoCAndroid ID: A-149813448,,2020-05-14T21:15:11.650,2021-07-21T11:39:23.747,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,,2020-05-01,,
4685,CVE-2020-0090,2020,5,5/5/20,,"A-149813048,M-ALPS04983879",,ID,High,,Email,,An improper authorization in the receiver component of Email.Product: AndroidVersions: Android SoCAndroid ID: A-149813048,,2020-05-14T21:15:11.697,2021-07-21T11:39:23.747,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,,2020-05-01,,
4686,CVE-2020-0091,2020,5,5/5/20,,"A-149808700,M-ALPS04356368",,ID,High,,mnld,,"In mnld, an incorrect configuration in driver_cfg of mnld for meta factory mode.Product: AndroidVersions: Android SoCAndroid ID: A-149808700",,2020-05-14T21:15:11.760,2021-07-21T11:39:23.747,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM,,2020-05-01,,
4691,CVE-2020-3623,2020,5,5/5/20,,"A-148815534,QC-CR#2472080",,,High,,Security,,"kernel failure due to load failures while running v1 path directly via kernel in Snapdragon Mobile in SM8250, SXR2130",,2020-06-02T15:15:13.773,2020-06-03T15:50:47.223,CWE-20,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Input Validation,2020-05-01,,
4720,CVE-2020-3665,2020,6,6/5/20,,"A-150697775,,QC-CR#2174506",https://source.codeaurora.org/quic/le/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=48b55d5182ec223d1e1f88dc1b7b7ef91f3459c8,,High,,WLAN,,"A possible buffer overflow would occur while processing command from firmware due to the group_id obtained from the firmware being out of range in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables in APQ8009, APQ8053, APQ8096AU, MDM9206, MDM9207C, MDM9607, MDM9615, MDM9640, MDM9650, MSM8909W, MSM8996, MSM8996AU, QCA6174A, QCA9377, QCA9379, SDM439, SDM636, SDM660, SDX20, SDX24, SM8150",,2020-06-22T07:15:12.413,2020-06-25T20:30:33.987,CWE-129,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Validation of Array Index,2020-06-01,,
4729,CVE-2020-3628,2020,6,6/5/20,,A-150695508,,,High,,Closed-source component,,"Improper access due to socket opened by the logging application without specifying localhost address in Snapdragon Consumer IOT, Snapdragon Mobile in APQ8053, Rennell, SDX20",,2020-06-22T07:15:12.007,2021-07-21T11:39:23.747,NVD-CWE-noinfo,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,,2020-06-01,,
4762,CVE-2019-19769,2020,9,9/5/20,,"A-150693748,","https://android.googlesource.com/kernel/common/+/dcf23ac3e846ca0cf626c155a0e3fcbbcf4fae8a,https://android.googlesource.com/kernel/common/+/6d390e4b5d48ec03bb87e63cf0a2bff5f4e116da",EoP,High,,Storage subsystem,,"In the Linux kernel 5.3.10, there is a use-after-free (read) in the perf_trace_lock_acquire function (related to include/trace/events/lock.h).",5.3.10,2019-12-12T20:15:17.727,2023-11-07T03:07:47.850,CWE-416,cvssMetricV31,LOCAL,LOW,HIGH,NONE,HIGH,HIGH,HIGH,6.7,MEDIUM,Use After Free,2020-09-01,,
4765,CVE-2020-0123,2020,9,9/5/20,,"A-149871374,DTV02098055",,,High,,Sound driver of Android TV,,There is a possible out of bounds write due to an incorrect bounds check.Product: AndroidVersions: Android SoCAndroid ID: A-149871374,,2020-09-17T16:15:12.427,2020-09-23T20:44:14.900,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2020-09-01,,
4766,CVE-2020-0229,2020,9,9/5/20,,"A-156333725,ALPS05023182",,,High,,mdla,,There is a possible out of bounds write due to an incorrect bounds check.Product: AndroidVersions: Android SoCAndroid ID: A-156333725,,2020-09-17T16:15:12.507,2020-09-23T20:43:59.730,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2020-09-01,,
4786,CVE-2020-3629,2020,9,9/5/20,,A-148816991,,,High,,Closed-source component,,"u'Stack out of bound issue occurs when making query to DSP capabilities due to wrong assumption was made on determining the buffer size for the DSP attributes' in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables in Bitra, Kamorta, Rennell, SC7180, SDM845, SM6150, SM7150, SM8150, SM8250, SXR2130",,2020-09-08T10:15:15.327,2020-09-14T15:37:32.697,CWE-120,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2020-09-01,,
4811,CVE-2020-0445,2020,11,11/5/20,,"A-168264527,M-ALPS05253566",,,High,,video encoder,,There is a possible out of bounds write due to a missing bounds check.Product: AndroidVersions: Android SoCAndroid ID: A-168264527,,2020-11-10T13:15:12.430,2021-07-21T11:39:23.747,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2020-11-01,,
4812,CVE-2020-0446,2020,11,11/5/20,,"A-168264528,M-ALPS05257259",,,High,,video decoder,,There is a possible out of bounds write due to a missing bounds check.Product: AndroidVersions: Android SoCAndroid ID: A-168264528,,2020-11-10T13:15:12.490,2021-07-21T11:39:23.747,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2020-11-01,,
4813,CVE-2020-0447,2020,11,11/5/20,,"A-168251617,M-ALPS05287879",,,High,,ptp3,,There is a possible out of bounds write due to a missing bounds check.Product: AndroidVersions: Android SoCAndroid ID: A-168251617,,2020-11-10T13:15:12.553,2021-07-21T11:39:23.747,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2020-11-01,,
4823,CVE-2020-11205,2020,11,11/5/20,,A-162757240,,,High,,Closed-source component,,"u'Possible integer overflow to heap overflow while processing command due to lack of check of packet length received' in Snapdragon Auto, Snapdragon Compute, Snapdragon Mobile in QSM8350, SA6145P, SA6150P, SA6155, SA6155P, SA8150P, SA8155P, SA8195P, SDX55M, SM8250, SM8350, SM8350P, SXR2130, SXR2130P",,2020-11-12T10:15:12.967,2021-07-21T11:39:23.747,CWE-190,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2020-11-01,,
4823,CVE-2020-11205,2020,11,11/5/20,,A-162757240,,,High,,Closed-source component,,"u'Possible integer overflow to heap overflow while processing command due to lack of check of packet length received' in Snapdragon Auto, Snapdragon Compute, Snapdragon Mobile in QSM8350, SA6145P, SA6150P, SA6155, SA6155P, SA8150P, SA8155P, SA8195P, SDX55M, SM8250, SM8350, SM8350P, SXR2130, SXR2130P",,2020-11-12T10:15:12.967,2021-07-21T11:39:23.747,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2020-11-01,,
4846,CVE-2019-14051,2020,2,2/1/16,,A-143902841,,,High,,Closed-source component,,"Subsequent additions performed during Module loading while allocating the memory would lead to integer overflow and then to buffer overflow in Snapdragon Industrial IOT in MDM9206, MDM9607",,2020-02-07T05:15:11.903,2020-02-10T01:01:18.303,CWE-190,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2020-02-01,,
4868,CVE-2020-0422,2020,10,10/1/20,,A-161718556,https://android.googlesource.com/platform/packages/apps/Contacts/+/c987095255ee953de27ea1de360c44aa99b1b856,ID,High,"8.0, 8.1, 9, 10, 11",,,"In constructImportFailureNotification of NotificationImportExportListener.java, there is a possible permissions bypass due to an unsafe PendingIntent. This could lead to local information disclosure of contact data with User execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-8.1 Android-9 Android-10 Android-11 Android-8.0Android ID: A-161718556","Android-8, Android-9, Android-10, Android-11, Android-8",2020-10-14T14:15:17.233,2021-07-21T11:39:23.747,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,LOW,NONE,NONE,3.3,LOW,,2020-10-01,8.0,11
4876,CVE-2020-0376,2020,10,10/5/20,,"A-163003156,M-ALPS05194415",,,High,,ISP,,There is a possible out of bounds read due to a missing bounds check.Product: AndroidVersions: Android SoCAndroid ID: A-163003156,,2020-10-14T14:15:16.280,2020-10-15T21:07:29.753,CWE-125,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,HIGH,9.1,CRITICAL,Out-of-bounds Read,2020-10-01,,
4907,CVE-2019-17666,2020,1,1/5/20,,"A-142967706,",https://android.googlesource.com/kernel/common/+/ee33af324931688a75bcc741f1b6cfbeb4584596,RCE,Critical,,Realtek rtlwifi driver,,"rtl_p2p_noa_ie in drivers/net/wireless/realtek/rtlwifi/ps.c in the Linux kernel through 5.3.6 lacks a certain upper-bound check, leading to a buffer overflow.",5.3.6,2019-10-17T02:15:13.477,2023-11-07T03:06:24.143,CWE-120,cvssMetricV31,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2020-01-01,,
4919,CVE-2019-14024,2020,1,1/5/20,,"A-142269993,,QC-CR#2494103",https://source.codeaurora.org/quic/la/platform/vendor/nxp/opensource/packages/apps/Nfc/commit/?id=47e5aedc1c765076ec401f423b6db2c1477b8925,,High,,NFC,,"Possible stack-use-after-scope issue in NFC usecase for card emulation in Snapdragon Auto, Snapdragon Industrial IOT, Snapdragon Mobile in MSM8917, MSM8953, Nicobar, QM215, Rennell, SDM429, SDM439, SDM450, SDM632, SDM670, SDM710, SDM845, SM6150, SM7150, SM8150, SM8250, SXR2130",,2020-01-21T07:15:12.823,2020-01-24T13:33:38.127,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2020-01-01,,
4935,CVE-2019-14008,2020,1,1/5/20,,A-142271609,,,High,,Closed-source component,,"Possible null pointer dereference issue in location assistance data processing due to missing null check on resources before using it in Snapdragon Auto, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile in MDM9150, MDM9607, MDM9650, SDM660, SDM845, SM8150, SM8250, SXR2130",,2020-01-21T07:15:12.353,2020-01-23T19:05:16.317,CWE-476,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,NULL Pointer Dereference,2020-01-01,,
4954,CVE-2020-0259,2020,8,8/5/20,,A-157941353,,EoP,High,,dm-verity,,"In android_verity_ctr of dm-android-verity.c, there is a possible way to modify a dm-verity protected filesystem due to improperly used crypto. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-157941353References: N/A",,2020-08-11T20:15:12.947,2021-07-21T11:39:23.747,NVD-CWE-noinfo,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,,2020-08-01,,
4955,CVE-2020-10751,2020,8,8/5/20,,"A-155485360,",http://android.googlesource.com/kernel/common/+/fb73974172ff,EoP,High,,SELinux,,"A flaw was found in the Linux kernels SELinux LSM hook implementation before version 5.7, where it incorrectly assumed that an skb would only contain a single netlink message. The hook would incorrectly only validate the first netlink message in the skb and allow or deny the rest of the messages within the skb with the granted permission without further processing.",5.7,2020-05-26T15:15:10.727,2023-02-12T23:39:18.680,CWE-349,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,LOW,NONE,6.1,MEDIUM,Acceptance of Extraneous Untrusted Data With Trusted Data,2020-08-01,,
4955,CVE-2020-10751,2020,8,8/5/20,,"A-155485360,",http://android.googlesource.com/kernel/common/+/fb73974172ff,EoP,High,,SELinux,,"A flaw was found in the Linux kernels SELinux LSM hook implementation before version 5.7, where it incorrectly assumed that an skb would only contain a single netlink message. The hook would incorrectly only validate the first netlink message in the skb and allow or deny the rest of the messages within the skb with the granted permission without further processing.",5.7,2020-05-26T15:15:10.727,2023-02-12T23:39:18.680,CWE-345,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,LOW,NONE,6.1,MEDIUM,Insufficient Verification of Data Authenticity,2020-08-01,,
4983,CVE-2020-3624,2020,8,8/5/20,,A-148816990,,,High,,Closed-source component,,"u'A potential buffer overflow exists due to integer overflow when parsing handler options due to wrong data type usage in operation' in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking in APQ8009, APQ8017, APQ8053, APQ8096AU, APQ8098, Kamorta, MDM9150, MDM9205, MDM9206, MDM9207C, MDM9607, MDM9615, MDM9625, MDM9635M, MDM9640, MDM9645, MDM9650, MDM9655, MSM8905, MSM8909, MSM8909W, MSM8917, MSM8920, MSM8937, MSM8940, MSM8953, MSM8996AU, MSM8998, Nicobar, QCM2150, QCN7605, QCS605, QCS610, QM215, Rennell, SA415M, SA515M, Saipan, SC7180, SC8180X, SDA660, SDA845, SDM429, SDM429W, SDM439, SDM450, SDM630, SDM632, SDM636, SDM660, SDM670, SDM710, SDM845, SDM850, SDX20, SDX24, SDX55, SM6150, SM7150, SM8150, SXR1130",,2020-09-08T10:15:15.263,2020-09-10T13:22:35.710,CWE-190,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2020-08-01,,
5001,CVE-2019-9501,2020,7,7/5/20,,A-130373736,,RCE,Critical,,Broadcom Firmware,,"The Broadcom wl WiFi driver is vulnerable to a heap buffer overflow. By supplying a vendor information element with a data length larger than 32 bytes, a heap buffer overflow is triggered in wlc_wpa_sup_eapol. In the worst case scenario, by sending specially-crafted WiFi packets, a remote, unauthenticated attacker may be able to execute arbitrary code on a vulnerable system. More typically, this vulnerability will result in denial-of-service conditions.",,2020-02-03T21:15:11.487,2020-02-10T14:28:48.773,CWE-787,cvssMetricV31,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.8,HIGH,Out-of-bounds Write,2020-07-01,,
