CVE,SPL,SMR,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40502,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host.,,2023-02-12T04:15:15.363,2024-04-12T17:16:29.323,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-40512,23-Feb,,CWE-125,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-40512,23-Feb,,CWE-126,Transient DOS in WLAN Firmware due to buffer over-read while processing probe response or beacon.,,2023-02-12T04:15:15.430,2024-04-12T17:16:31.980,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-34145,23-Feb,,CWE-125,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Out-of-bounds Read
CVE-2022-34145,23-Feb,,CWE-126,Transient DOS due to buffer over-read in WLAN Host while parsing frame information.,,2023-02-12T04:15:14.767,2024-04-12T17:16:28.800,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-33277,23-Feb,,CWE-120,Memory corruption in modem due to buffer copy without checking size of input while receiving WMI command.,,2023-02-12T04:15:14.487,2024-04-12T17:16:20.980,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-34146,23-Feb,,CWE-20,Transient DOS due to improper input validation in WLAN Host while parsing frame during defragmentation.,,2023-02-12T04:15:14.837,2024-04-12T17:16:29.040,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Improper Input Validation
CVE-2022-33271,23-Feb,,CWE-125,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Out-of-bounds Read
CVE-2022-33271,23-Feb,,CWE-126,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Buffer Over-read
CVE-2022-33271,23-Feb,,CWE-125,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Out-of-bounds Read
CVE-2022-33271,23-Feb,,CWE-126,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Buffer Over-read
CVE-2022-33271,23-Feb,,CWE-125,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Out-of-bounds Read
CVE-2022-33271,23-Feb,,CWE-126,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Buffer Over-read
CVE-2022-33271,23-Feb,,CWE-125,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Out-of-bounds Read
CVE-2022-33271,23-Feb,,CWE-126,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Buffer Over-read
CVE-2022-33271,23-Feb,,CWE-125,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Out-of-bounds Read
CVE-2022-33271,23-Feb,,CWE-126,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Buffer Over-read
CVE-2022-33271,23-Feb,,CWE-125,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Out-of-bounds Read
CVE-2022-33271,23-Feb,,CWE-126,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Buffer Over-read
CVE-2022-33271,23-Feb,,CWE-125,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Out-of-bounds Read
CVE-2022-33271,23-Feb,,CWE-126,Information disclosure due to buffer over-read in WLAN while parsing NMF frame.,,2023-02-12T04:15:14.420,2024-04-12T17:16:17.670,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Buffer Over-read
