CVE,vul_true,SPL,SMR,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity
CVE-2018-9499,,18-Oct,,CWE-908,"In readVector of iCrypto.cpp, there is a possible invalid read due to uninitialized data. This could lead to local information disclosure from the DRM server with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-79218474","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:07.150,2023-11-07T03:01:37.437,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM
CVE-2018-9501,,18-Oct,,NVD-CWE-noinfo,"In the SetupWizard, there is a possible Factory Reset Protection bypass due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-110034419","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:07.603,2023-11-07T03:01:37.500,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-9502,,18-Oct,,CWE-125,"In rfc_process_mx_message of rfc_ts_frames.cc, there is a possible out-of-bounds read due to a missing bounds check. This could lead to remote information disclosure in the Bluetooth service with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-111936792","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:08.103,2023-11-07T03:01:37.567,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,6.5,MEDIUM
CVE-2018-9503,,18-Oct,,CWE-125,"In rfc_process_mx_message of rfc_ts_frames.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-80432928","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:08.977,2023-11-07T03:01:37.637,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH
CVE-2018-9505,,18-Oct,,CWE-125,"In mca_ccb_hdl_req of mca_cact.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-110791536","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:10.213,2023-11-07T03:01:37.767,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,6.5,MEDIUM
CVE-2018-9506,,18-Oct,,CWE-125,"In avrc_msg_cback of avrc_api.cc, there is a possible out-of-bound read due to a missing bounds check. This could lead to remote information disclosure over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-111803925","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:10.650,2023-11-07T03:01:37.837,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,6.5,MEDIUM
CVE-2018-9507,,18-Oct,,CWE-125,"In bta_av_proc_meta_cmd of bta_av_act.cc, there is a possible out of bounds read due to an incorrect bounds check. This could lead to remote information disclosure over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-111893951","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:11.197,2023-11-07T03:01:37.893,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,6.5,MEDIUM
CVE-2018-9508,,18-Oct,,CWE-125,"In smp_process_keypress_notification of smp_act.cc, there is a possible out of bounds read due to an incorrect bounds check. This could lead to remote information disclosure over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android ID: A-111936834","Android-7, Android-7, Android-7, Android-8, Android-8",2018-10-02T19:29:11.650,2023-11-07T03:01:37.950,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,6.5,MEDIUM
CVE-2018-9509,,18-Oct,,CWE-125,"In smp_proc_master_id of smp_act.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-111937027","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:12.260,2023-11-07T03:01:38.010,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,6.5,MEDIUM
CVE-2018-9510,,18-Oct,,CWE-125,"In smp_proc_enc_info of smp_act.cc, there is a possible out of bounds read due to a missing bounds check. This could lead to remote information disclosure over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-111937065","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:12.837,2023-11-07T03:01:38.070,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,6.5,MEDIUM
CVE-2018-9511,,18-Oct,,CWE-909,"In ipSecSetEncapSocketOwner of XfrmController.cpp, there is a possible failure to initialize a security feature due to uninitialized data. This could lead to local denial of service of IPsec on sockets with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-9.0 Android ID: A-111650288",Android-9,2018-10-02T19:29:13.353,2023-11-07T03:01:38.123,cvssMetricV30,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,5.5,MEDIUM
CVE-2017-15825,,18-Oct,,CWE-125,"In all android releases (Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, while processing a gpt update, an out of bounds memory access may potentially occur.",None,2018-09-18T18:29:00.443,2018-11-09T18:16:09.673,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-11270,,18-Oct,,CWE-415,"In all android releases (Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, memory allocated with devm_kzalloc is automatically released by the kernel if the probe function fails with an error code. This may result in data corruption.",None,2018-09-18T18:29:01.223,2018-11-09T17:53:32.867,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-9452,,18-Oct,,CWE-20,"In getOffsetForHorizontal of Layout.java, there is a possible application hang due to a slow width calculation. This could lead to remote denial of service if a contact with many hidden unicode characters were sent to the device and used by a local app, with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9.0 Android ID: A-78464361","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-10-02T19:29:01.510,2023-11-07T03:01:36.743,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,NONE,NONE,HIGH,5.5,MEDIUM
CVE-2017-18296,,18-Sep,,NVD-CWE-noinfo,"Access control on applications is not applied while accessing SafeSwitch services can lead to improper access in Snapdragon Automobile, Snapdragon Mobile, Snapdragon Wear in version MDM9206, MDM9607, MDM9650, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SD 845, SDA660, SDX20.",None,2018-10-23T13:29:01.650,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18305,,18-Sep,,NVD-CWE-noinfo,"XBL sec mem dump system call allows complete control of EL3 by unlocking all XPUs if enable fuse is not blown in Snapdragon Mobile, Snapdragon Wear in version MDM9206, MDM9607, MDM9650, SD 210/SD 212/SD 205, SD 835.",None,2018-10-23T13:29:02.557,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH,7.0,HIGH
CVE-2017-18310,,18-Sep,,NVD-CWE-noinfo,"ClientEnv exposes services 0-32 to HLOS in Snapdragon Automobile, Snapdragon Mobile, Snapdragon Wear in version MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 427, SD 430, SD 435, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 810, SD 820, SD 820A, SD 835, SD 845, SDA660, SDM429, SDM439, SDM630, SDM632, SDM636, SDM660, Snapdragon_High_Med_2016",None,2018-10-26T13:29:00.543,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-9427,,18-Sep,,CWE-787,In CopyToOMX of OMXNodeInstance.cpp there is a possible out-of-bounds write due to an incorrect bounds check. This could lead to remote arbitrary code execution with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-8.0 Android-8.1 Android ID: A-77486542.,"Android-8, Android-8",2018-11-06T17:29:00.770,2018-12-18T17:33:53.610,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18249,,18-Sep,,CWE-362,"The add_free_nid function in fs/f2fs/node.c in the Linux kernel before 4.12 does not properly track an allocated nid, which allows local users to cause a denial of service (race condition) or possibly have unspecified other impact via concurrent threads.",4.12,2018-03-26T20:29:00.227,2019-04-03T01:29:00.863,cvssMetricV30,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH,7.0,HIGH
CVE-2018-9465,,18-Sep,,CWE-416,"In task_get_unused_fd_flags of binder.c, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android kernel Android ID: A-69164715 References: Upstream kernel.",None,2018-11-06T17:29:01.393,2018-12-12T14:31:22.043,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-5383,,18-Sep,,CWE-347,"Bluetooth firmware or operating system software drivers in macOS versions before 10.13, High Sierra and iOS versions before 11.4, and Android versions before the 2018-06-05 patch may not sufficiently validate elliptic curve parameters used to generate public keys during a Diffie-Hellman key exchange, which may allow a remote attacker to obtain the encryption key used by the device.","10.13, 11.4",2018-08-07T21:29:00.287,2019-10-03T00:03:26.223,cvssMetricV30,ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,HIGH,NONE,6.8,MEDIUM
CVE-2018-5383,,18-Sep,,CWE-325,"Bluetooth firmware or operating system software drivers in macOS versions before 10.13, High Sierra and iOS versions before 11.4, and Android versions before the 2018-06-05 patch may not sufficiently validate elliptic curve parameters used to generate public keys during a Diffie-Hellman key exchange, which may allow a remote attacker to obtain the encryption key used by the device.","10.13, 11.4",2018-08-07T21:29:00.287,2019-10-03T00:03:26.223,cvssMetricV30,ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,HIGH,NONE,6.8,MEDIUM
CVE-2017-13077,,18-Sep,,CWE-330,"Wi-Fi Protected Access (WPA and WPA2) allows reinstallation of the Pairwise Transient Key (PTK) Temporal Key (TK) during the four-way handshake, allowing an attacker within radio range to replay, decrypt, or spoof frames.",None,2017-10-17T02:29:00.207,2019-10-03T00:03:26.223,cvssMetricV30,ADJACENT_NETWORK,HIGH,NONE,NONE,HIGH,HIGH,NONE,6.8,MEDIUM
CVE-2017-18281,,18-Sep,,CWE-125,"A bool variable in Video function, which gets typecasted to int before being read could result in an out of bound read access in all Android releases from CAF using the linux kernel",None,2018-10-29T18:29:00.510,2018-12-11T15:39:05.263,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM
CVE-2018-11260,,18-Sep,,CWE-190,"In all android releases(Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, while processing a fast Initial link setup (FILS) connection request, integer overflow may lead to a buffer overflow when the key length is zero.",None,2018-11-27T16:29:00.567,2018-12-21T14:19:59.513,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18295,,18-Sep,,CWE-119,"Possible buffer overflow if input is not null terminated in DSP Service module in Snapdragon Automobile, Snapdragon Mobile, Snapdragon Wear in version MDM9206, MDM9607, MDM9650, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 450, SD 615/16/SD 415, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SDX20.",None,2018-10-23T13:29:01.523,2018-12-06T17:20:35.927,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18283,,18-Sep,,CWE-119,"Possible memory corruption when Read Val Blob Req is received with invalid parameters in Snapdragon Mobile in version QCA9379, SD 210/SD 212/SD 205, SD 625, SD 835, SD 845, SD 850, SDA660.",None,2018-10-23T13:29:00.977,2019-10-03T00:03:26.223,cvssMetricV30,ADJACENT_NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,6.5,MEDIUM
CVE-2017-18294,,18-Sep,,CWE-125,"While reading file class type from ELF header, a buffer overread may happen if the ELF file size is less than the size of ELF64 header size in Small Cell SoC, Snapdragon Automobile, Snapdragon Mobile, Snapdragon Wear in version FSM9055, MDM9206, MDM9607, MDM9650, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SD 845, SDA660, SDX20.",None,2018-10-23T13:29:01.400,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18293,,18-Sep,,NVD-CWE-noinfo,"When a particular GPIO is protected by blocking access to the corresponding GPIO resource registers, the protection can be bypassed using the corresponding banked GPIO registers instead in Snapdragon Mobile, Snapdragon Wear in version MDM9206, MDM9607, MDM9650, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 625, SD 650/52, SD 835, SDA660.",None,2018-10-23T13:29:01.260,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18292,,18-Sep,,CWE-20,"Secure app running in non secure space can restart TZ by calling Widevine app API repeatedly in Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear in versions MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 810, SD 820, SD 820A.",None,2018-10-23T13:29:01.133,2018-12-10T16:45:10.450,cvssMetricV30,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,5.5,MEDIUM
CVE-2017-18298,,18-Sep,,CWE-476,"Lack of Input Validation in SDMX API can lead to NULL pointer access in Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear in versions MDM9206, MDM9607, MDM9650, MSM8996AU, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 810, SD 820, SD 820A, SD 835, SD 845, SD 850, SDA660 .",None,2018-10-23T13:29:01.883,2018-12-10T16:27:29.247,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18299,,18-Sep,,CWE-400,"Improper translation table consolidation logic leads to resource exhaustion and QSEE error in Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear in version MDM9206, MDM9607, MDM9650, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SD 845, SD 850, SDA660",None,2018-10-23T13:29:02.010,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,5.5,MEDIUM
CVE-2017-18304,,18-Sep,,CWE-125,"Insufficient memory allocation in boot due to incorrect size being passed could result in out of bounds access in Small Cell SoC, Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear in version FSM9055, MDM9206, MDM9607, MDM9640, MDM9650, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 810, SD 820, SD 820A, SD 835, SDA660 and SDX20",None,2018-10-23T13:29:02.430,2018-12-10T14:52:02.377,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18303,,18-Sep,,CWE-119,"While processing the sensors registry configuration file, if inputs are not validated a buffer overflow will occur in Snapdragon Automobile, Snapdragon Mobile, Snapdragon Wear in version MMDM9206, MDM9607, MDM9650, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 600, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 810, SD 820, SD 820A, SD 835, SDA660, SDX20.",None,2018-10-23T13:29:02.290,2018-12-10T14:53:03.760,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18301,,18-Sep,,CWE-476,"In Small Cell SoC and Snapdragon (Automobile, Mobile, Wear) in version FSM9055, FSM9955, MDM9607, MDM9640, MDM9650, MSM8909W, SD 425, SD 427, SD 430, SD 435, SD 450, SD 617, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SD 845, SDM630, SDM636, SDM660, SDX20, Snapdragon_High_Med_2016, providing the NULL argument of ICE regulator while processing create key IOCTL results in system restart.",None,2018-09-20T13:29:00.370,2018-11-23T15:49:20.070,cvssMetricV30,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,5.5,MEDIUM
CVE-2017-18302,,18-Sep,,CWE-362,"In Snapdragon (Automobile ,Mobile) in version MSM8996AU, SD 425, SD 427, SD 430, SD 435, SD 450, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SDA660, SDM429, SDM439, SDM630, SDM632, SDM636, SDM660, Snapdragon_High_Med_2016, a crafted HLOS client can modify the structure in memory passed to a QSEE application between the time of check and the time of use, resulting in arbitrary writes to TZ kernel memory regions.",None,2018-09-20T13:29:00.510,2018-11-23T15:51:37.793,cvssMetricV30,LOCAL,HIGH,LOW,NONE,NONE,HIGH,NONE,4.7,MEDIUM
CVE-2017-18300,,18-Sep,,CWE-200,"Secure display content could be accessed by third party trusted application after creating a fault in other trusted applications in Snapdragon Mobile, Snapdragon Wear in version MDM9206, MDM9607, MDM9650, SD 210/SD 212/SD 205, SD 835, SDA660.",None,2018-10-23T13:29:02.150,2018-12-10T15:09:18.463,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE,5.5,MEDIUM
CVE-2017-18297,,18-Sep,,CWE-415,"Double memory free while closing TEE SE API Session management in Snapdragon Mobile in version SD 425, SD 430, SD 450, SD 625, SD 650/52, SD 820.",None,2018-10-23T13:29:01.760,2018-12-07T21:11:35.390,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18280,,18-Sep,,NVD-CWE-noinfo,"In Snapdragon (Automobile, Mobile, Wear) in version MDM9607, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 427, SD 430, SD 435, SD 450, SD 617, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SDM429, SDM439, SDM632, Snapdragon_High_Med_2016, when a Trusted Application has opened the SPI/I2C interface to a particular device, it is possible for another Trusted Application to read the data on this open interface by calling the SPI/I2C read function.",None,2018-09-20T13:29:00.247,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18282,,18-Sep,,NVD-CWE-noinfo,"Non-secure SW can cause SDCC to generate secure bus accesses, which may expose RPM access in Snapdragon Mobile, Snapdragon Wear in version MDM9206, MDM9607, MDM9650, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 625, SD 650/52, SD 835, SDA660.",None,2018-10-23T13:29:00.837,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2017-18309,,18-Sep,,CWE-129,"A micro-core of QMP transportation may cause a macro-core to read from or write to arbitrary memory in Snapdragon Mobile in version SD 845, SD 850.",None,2018-10-26T13:29:00.450,2018-12-11T21:09:13.697,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,NONE,7.1,HIGH
CVE-2017-18308,,18-Sep,,NVD-CWE-noinfo,"Modem segments are unlocked after authentication, leaving modem segments open to all in Snapdragon Mobile, Snapdragon Wear in version MDM9607, MSM8909W, SD 210/SD 212/SD 205, SD 425, SD 430",None,2018-10-26T13:29:00.357,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-11305,,18-Sep,,CWE-416,"When a series of FDAL messages are sent to the modem, a Use After Free condition can occur in Snapdragon Automobile, Snapdragon Mobile, Snapdragon Wear in version MDM9206, MDM9607, MDM9640, MDM9650, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SD 845, SDA660, SDX20.",None,2018-10-26T13:29:00.747,2018-12-11T20:49:28.047,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-11258,,18-Sep,,CWE-416,"In ADSP RPC in Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear, a Use After Free condition can occur in versions MDM9206, MDM9607, MDM9650, MSM8909W, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 450, SD 615/16/SD 415, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SD 845, SDX20.",None,2018-07-06T17:29:00.710,2018-09-06T15:34:28.370,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-9488,,18-Sep,,CWE-863,"In the SELinux permissions of crash_dump.te, there is a permissions bypass due to a missing restriction. This could lead to a local escalation of privilege, with System privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-8.0 Android-8.1 Android-9.0 Android ID: A-110107376.","Android-8, Android-8, Android-9",2018-11-06T17:29:01.427,2020-08-24T17:37:01.140,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-9427,,18-Aug,,CWE-787,In CopyToOMX of OMXNodeInstance.cpp there is a possible out-of-bounds write due to an incorrect bounds check. This could lead to remote arbitrary code execution with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-8.0 Android-8.1 Android ID: A-77486542.,"Android-8, Android-8",2018-11-06T17:29:00.770,2018-12-18T17:33:53.610,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-9446,,18-Aug,,CWE-787,"In smp_br_state_machine_event of smp_br_main.cc, there is a possible out of bounds write due to memory corruption. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-6.0 Android-6.0.1 Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android ID: A-80145946.","Android-6, Android-6, Android-7, Android-7, Android-7, Android-8, Android-8",2018-11-06T17:29:01.067,2018-12-12T21:04:55.173,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL
CVE-2018-9450,,18-Aug,,CWE-787,"In avrc_proc_vendor_command of avrc_api.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-6.0 Android-6.0.1 Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android ID: A-79541338.","Android-6, Android-6, Android-7, Android-7, Android-7, Android-8, Android-8",2018-11-06T17:29:01.143,2018-12-12T20:55:12.133,cvssMetricV30,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH,8.8,HIGH
CVE-2016-2108,,18-Aug,,CWE-119,"The ASN.1 implementation in OpenSSL before 1.0.1o and 1.0.2 before 1.0.2c allows remote attackers to execute arbitrary code or cause a denial of service (buffer underflow and memory corruption) via an ANY field in crafted serialized data, aka the ""negative zero"" issue.","1.0.1, 1.0.2, 1.0.2",2016-05-05T01:59:04.230,2023-11-07T02:30:56.157,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL
CVE-2018-11259,,18-Aug,,CWE-732,"Due to Improper Access Control of NAND-based EFS in Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear, From fastboot on a NAND-based device, the EFS partition can be erased. Apps processor then has non-secure world full read/write access to the partition until the modem boots and configures the EFS partition addresses in its MPU partition.",None,2018-07-06T17:29:00.757,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,NONE,NONE,HIGH,HIGH,NONE,7.7,HIGH
CVE-2018-11257,,18-Aug,,NVD-CWE-noinfo,"Permissions, Privileges, and Access Controls in TA in Snapdragon Mobile has an options that allows RPMB erase for secure devices in versions SD 210/SD 212/SD 205, SD 845, SD 850.",None,2018-07-06T17:29:00.647,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH
CVE-2018-9445,,18-Aug,,CWE-22,"In readMetadata of Utils.cpp, there is a possible path traversal bug due to a confused deputy. This could lead to local escalation of privilege when mounting a USB device with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android Versions: Android-6.0 Android-6.0.1 Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android ID: A-80436257.","Android-6, Android-6, Android-7, Android-7, Android-7, Android-8, Android-8",2018-11-06T17:29:01.020,2018-12-12T21:11:21.837,cvssMetricV30,PHYSICAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,6.8,MEDIUM
CVE-2018-9438,,18-Aug,,NVD-CWE-noinfo,"When a device connects only over WiFi VPN, the device may not receive security updates due to some incorrect checks. This could lead to a local denial of service of security updates with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android Versions: Android-8.1 Android ID: A-78644887.",Android-8,2018-11-06T17:29:00.910,2019-10-03T00:03:26.223,cvssMetricV30,LOCAL,LOW,LOW,REQUIRED,NONE,NONE,HIGH,5.0,MEDIUM
