CVE,SPL,SMR,Year,Month,Date_lg,ID_asb,year_asb,month_asb,spl_type_asb,date_asb,bug_asb,link_asb,Type_asb,Severity_asb,vul_true,component_asb,devices_asb,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2017-0402,17-Jan,,2017,01,2017-01-01,2772,2017,01,1/1/17,25-Oct-16,A-32436341,"https://android.googlesource.com/platform/frameworks/av/+/c66c43ad571ed2590dcd55a762c73c90d9744bac,https://android.googlesource.com/platform/hardware/qcom/audio/+/d72ea85c78a1a68bf99fd5804ad9784b4102fe57",,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",,All,"An information disclosure vulnerability in lvm/wrapper/Bundle/EffectBundle.cpp in libeffects in Audioserver could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it could be used to access sensitive data without permission. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1. Android ID: A-32436341.","4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1",2017-01-12T20:59:02.640,2019-03-12T13:27:36.590,CWE-200,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,NONE,NONE,5.5,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2017-01-01
CVE-2017-0402,17-Jan,,2017,01,2017-01-01,2841,2017,01,1/5/17,25-Oct-16,A-32588352,"https://android.googlesource.com/platform/frameworks/av/+/c66c43ad571ed2590dcd55a762c73c90d9744bac,https://android.googlesource.com/platform/hardware/qcom/audio/+/d72ea85c78a1a68bf99fd5804ad9784b4102fe57",,Moderate,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1",,All,"An information disclosure vulnerability in lvm/wrapper/Bundle/EffectBundle.cpp in libeffects in Audioserver could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it could be used to access sensitive data without permission. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1. Android ID: A-32436341.","4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1",2017-01-12T20:59:02.640,2019-03-12T13:27:36.590,CWE-200,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,NONE,NONE,5.5,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2017-01-01
CVE-2016-8399,17-Jan,,2017,01,2017-01-01,1695,2016,12,12/5/16,5-Sep-16,A-31349935*,,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Nexus 9, Android One, Pixel C, NexusPlayer, Pixel, Pixel XL","An elevation of privilege vulnerability in the kernel networking subsystem could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as Moderate because it first requires compromising a privileged process and current compiler optimizations restrict access to the vulnerable code. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31349935.","3.10, 3.18",2017-01-12T15:59:01.543,2024-04-02T18:02:05.037,CWE-284,cvssMetricV31,LOCAL,HIGH,NONE,REQUIRED,HIGH,HIGH,HIGH,7.0,HIGH,Improper Access Control,2016-12-01
CVE-2016-6756,17-Jan,,2017,01,2017-01-01,1696,2016,12,12/5/16,17-Jun-16,"A-29464815,,QC-CR#1042068","https://source.codeaurora.org/quic/la//kernel/msm-3.10/commit/?id=f91d28dcba304c9f3af35b5bebaa26233c8c13a5,https://source.codeaurora.org/quic/la/kernel/msm-3.18/commit/?id=3a214ef870dc97437c7de79a1507dfe5079dce88",,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Android One, Pixel, Pixel XL","An information disclosure vulnerability in Qualcomm components including the camera driver and video driver could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-29464815. References: QC-CR#1042068.","3.10, 3.18",2017-01-12T15:59:00.183,2017-01-18T02:59:08.750,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-6757,17-Jan,,2017,01,2017-01-01,1697,2016,12,12/5/16,13-Jul-16,"A-30148242,,QC-CR#1052821",https://source.codeaurora.org/quic/la/kernel/msm-3.10/commit/?id=cd99d3bbdb16899a425716e672485e0cdc283245,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Pixel, Pixel XL","An information disclosure vulnerability in Qualcomm components including the camera driver and video driver could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-30148242. References: QC-CR#1052821.","3.10, 3.18",2017-01-12T15:59:00.213,2017-01-18T02:59:08.780,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8401,17-Jan,,2017,01,2017-01-01,1699,2016,12,12/5/16,13-Sep-16,A-31494725*,,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Nexus 9, Android One, Pixel C, NexusPlayer, Pixel, Pixel XL","An information disclosure vulnerability in kernel components including the ION subsystem, Binder, USB driver and networking subsystem could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31494725.","3.10, 3.18",2017-01-12T15:59:01.607,2017-01-18T19:43:36.927,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8402,17-Jan,,2017,01,2017-01-01,1700,2016,12,12/5/16,13-Sep-16,A-31495231*,,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Nexus 9, Android One, Pixel C, NexusPlayer, Pixel, Pixel XL","An information disclosure vulnerability in kernel components including the ION subsystem, Binder, USB driver and networking subsystem could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31495231.","3.10, 3.18",2017-01-12T15:59:01.637,2017-01-18T19:43:41.537,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8403,17-Jan,,2017,01,2017-01-01,1701,2016,12,12/5/16,13-Sep-16,A-31495348*,,,Moderate,,,Nexus 9,"An information disclosure vulnerability in kernel components including the ION subsystem, Binder, USB driver and networking subsystem could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10. Android ID: A-31495348.",3.10,2017-01-12T15:59:01.667,2017-01-18T20:49:43.080,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8404,17-Jan,,2017,01,2017-01-01,1702,2016,12,12/5/16,13-Sep-16,A-31496950*,,,Moderate,,,Nexus 9,"An information disclosure vulnerability in kernel components including the ION subsystem, Binder, USB driver and networking subsystem could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10. Android ID: A-31496950.",3.10,2017-01-12T15:59:01.730,2017-01-18T20:52:47.933,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8405,17-Jan,,2017,01,2017-01-01,1703,2016,12,12/5/16,21-Sep-16,A-31651010*,,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Nexus 9, Android One, Pixel C, NexusPlayer, Pixel, Pixel XL","An information disclosure vulnerability in kernel components including the ION subsystem, Binder, USB driver and networking subsystem could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31651010.","3.10, 3.18",2017-01-12T15:59:01.793,2017-11-04T01:29:25.037,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8406,17-Jan,,2017,01,2017-01-01,1704,2016,12,12/5/16,27-Sep-16,A-31796940*,,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Nexus 9, Android One, Pixel C, NexusPlayer, Pixel, Pixel XL","An information disclosure vulnerability in kernel components including the ION subsystem, Binder, USB driver and networking subsystem could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31796940.","3.10, 3.18",2017-01-12T15:59:01.857,2017-01-18T20:39:04.240,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8407,17-Jan,,2017,01,2017-01-01,1705,2016,12,12/5/16,28-Sep-16,A-31802656*,,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Android One, Pixel, Pixel XL","An information disclosure vulnerability in kernel components including the ION subsystem, Binder, USB driver and networking subsystem could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31802656.","3.10, 3.18",2017-01-12T15:59:01.933,2017-01-18T20:38:59.913,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2016-8410,17-Jan,,2017,01,2017-01-01,1708,2016,12,12/5/16,Google internal,"A-31498403,,QC-CR#987010",https://source.codeaurora.org/quic/la//kernel/msm-3.10/commit/?h=e2bbf665187a1f0a1248e4a088823cb182153ba9,,Moderate,,,"Nexus 5X, Nexus 6, Nexus 6P, Android One","An information disclosure vulnerability in the Qualcomm sound driver could enable a local malicious application to access data outside of its permission levels. This issue is rated as Moderate because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-31498403. References: QC-CR#987010.","3.10, 3.18",2017-01-12T15:59:02.057,2017-01-18T20:36:28.827,CWE-200,cvssMetricV30,LOCAL,HIGH,NONE,REQUIRED,HIGH,NONE,NONE,4.7,MEDIUM,Exposure of Sensitive Information to an Unauthorized Actor,2016-12-01
CVE-2017-18317,18-Dec,,2018,12,2018-12-01,876,2018,11,11/5/18,,A-78244877,,,Critical,,Closed-source component,,"Restrictions related to the modem (sim lock, sim kill) can be bypassed by manipulating the system to issue a deactivation flow sequence in Snapdragon Automobile, Snapdragon Mobile in versions MSM8996AU,SD 410/12,SD 820,SD 820A.",,2018-11-28T15:29:00.330,2018-12-26T15:39:57.357,CWE-20,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Input Validation,2018-11-01
CVE-2018-5912,18-Dec,,2018,12,2018-12-01,877,2018,11,11/5/18,,A-79420111,,,Critical,,Closed-source component,,"Potential buffer overflow in Video due to lack of input validation in input and output values in Snapdragon Automobile, Snapdragon Mobile in MSM8996AU, SD 450, SD 625, SD 820, SD 820A, SD 835, SD 845, SD 850, SDA660",,2018-11-28T15:29:00.657,2019-06-14T17:29:01.300,CWE-119,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-11-01
CVE-2018-5912,18-Dec,,2018,12,2018-12-01,1403,2019,05,5/5/19,,A-114074547,,,Critical,,Closed-source component,,"Potential buffer overflow in Video due to lack of input validation in input and output values in Snapdragon Automobile, Snapdragon Mobile in MSM8996AU, SD 450, SD 625, SD 820, SD 820A, SD 835, SD 845, SD 850, SDA660",,2018-11-28T15:29:00.657,2019-06-14T17:29:01.300,CWE-119,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2019-05-01
CVE-2018-5912,19-Jun,,2019,06,2019-06-01,877,2018,11,11/5/18,,A-79420111,,,Critical,,Closed-source component,,"Potential buffer overflow in Video due to lack of input validation in input and output values in Snapdragon Automobile, Snapdragon Mobile in MSM8996AU, SD 450, SD 625, SD 820, SD 820A, SD 835, SD 845, SD 850, SDA660",,2018-11-28T15:29:00.657,2019-06-14T17:29:01.300,CWE-119,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-11-01
CVE-2018-5912,19-Jun,,2019,06,2019-06-01,1403,2019,05,5/5/19,,A-114074547,,,Critical,,Closed-source component,,"Potential buffer overflow in Video due to lack of input validation in input and output values in Snapdragon Automobile, Snapdragon Mobile in MSM8996AU, SD 450, SD 625, SD 820, SD 820A, SD 835, SD 845, SD 850, SDA660",,2018-11-28T15:29:00.657,2019-06-14T17:29:01.300,CWE-119,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2019-05-01
CVE-2018-11264,18-Dec,,2018,12,2018-12-01,878,2018,11,11/5/18,,A-109677962,,,Critical,,Closed-source component,,"Possible buffer overflow in Ontario fingerprint code due to lack of input validation for the parameters coming into TZ from HLOS in Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear in versions MDM9206, MDM9607, MDM9650, MSM8996AU, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 450, SD 625, SD 650/52, SD 820, SD 820A, SD 835, SDA660.",,2018-11-28T15:29:00.423,2018-12-26T14:14:16.213,CWE-119,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-11-01
CVE-2018-9549,18-Dec,,2018,12,2018-12-01,636,2018,12,12/1/18,,A-112160868,https://android.googlesource.com/platform/external/aac/+/6f6d220a3255e7cbd31bcd1220ffb83af0a2779a,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,In lppTransposer of lpp_tran.cpp there is a possible out of bounds write due to missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android. Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9. Android ID: A-112160868.,"Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-12-06T14:29:01.220,2019-11-13T16:30:34.717,CWE-787,cvssMetricV31,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2018-12-01
CVE-2018-9550,18-Dec,,2018,12,2018-12-01,637,2018,12,12/1/18,,A-112660981,https://android.googlesource.com/platform/external/aac/+/ce97e7d55e1f69683b5bc8f19cc8da8c85bc2cd4,RCE,Critical,9,,,"In CAacDecoder_Init of aacdecoder.cpp, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android. Versions: Android-9. Android ID: A-112660981.",Android-9,2018-12-06T14:29:01.250,2019-11-13T16:30:25.247,CWE-787,cvssMetricV31,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2018-12-01
CVE-2018-9551,18-Dec,,2018,12,2018-12-01,638,2018,12,12/1/18,,A-112891548,https://android.googlesource.com/platform/external/aac/+/0e5db9fee912d367a572b88f0d86f9a33006fa29,RCE,Critical,9,,,"In CAacDecoder_Init of aacdecoder.cpp, there is a possible out-of-bound write due to a missing bounds check. This could lead to remote code execution in the media server with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android. Versions: Android-9. Android ID: A-112891548.",Android-9,2018-12-06T14:29:01.297,2019-11-13T16:30:15.167,CWE-787,cvssMetricV31,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2018-12-01
CVE-2018-9552,18-Dec,,2018,12,2018-12-01,639,2018,12,12/1/18,,A-113260892,https://android.googlesource.com/platform/external/libhevc/+/d15da6f960dd2d5b77faced4e799f8bf53785d9c,ID,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,In ihevcd_sao_shift_ctb of ihevcd_sao.c there is a possible out of bounds write due to missing bounds check. This could lead to information disclosure with no additional execution privileges needed. User interaction is needed for exploitation. Product: Android. Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9. Android ID: A-113260892.,"Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-12-06T14:29:01.330,2019-11-13T16:30:05.010,CWE-787,cvssMetricV31,LOCAL,LOW,NONE,REQUIRED,HIGH,NONE,NONE,5.5,MEDIUM,Out-of-bounds Write,2018-12-01
CVE-2018-9555,18-Dec,,2018,12,2018-12-01,643,2018,12,12/1/18,,A-112321180,https://android.googlesource.com/platform/system/bt/+/02fc52878d8dba16b860fbdf415b6e4425922b2c,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,"In l2c_lcc_proc_pdu of l2c_fcr.cc, there is a possible out of bounds write due to a missing bounds check. This could lead to remote escalation of privilege over Bluetooth with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android. Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9. Android ID: A-112321180.","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-12-06T14:29:01.453,2019-11-13T16:29:38.540,CWE-787,cvssMetricV31,ADJACENT_NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.8,HIGH,Out-of-bounds Write,2018-12-01
CVE-2018-9556,18-Dec,,2018,12,2018-12-01,644,2018,12,12/1/18,,A-113118184,https://android.googlesource.com/platform/system/update_engine/+/840a7eae5a6d8250490e8ea430193531f0c4ccd6,RCE,Critical,9,,,"In ParsePayloadHeader of payload_metadata.cc, there is a possible out of bounds write due to an integer overflow. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android. Versions: Android-9. Android ID: A-113118184.",Android-9,2018-12-06T14:29:01.500,2019-11-13T16:29:25.540,CWE-190,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Integer Overflow or Wraparound,2018-12-01
CVE-2018-9556,18-Dec,,2018,12,2018-12-01,644,2018,12,12/1/18,,A-113118184,https://android.googlesource.com/platform/system/update_engine/+/840a7eae5a6d8250490e8ea430193531f0c4ccd6,RCE,Critical,9,,,"In ParsePayloadHeader of payload_metadata.cc, there is a possible out of bounds write due to an integer overflow. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android. Versions: Android-9. Android ID: A-113118184.",Android-9,2018-12-06T14:29:01.500,2019-11-13T16:29:25.540,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2018-12-01
CVE-2018-9556,18-Dec,,2018,12,2018-12-01,644,2018,12,12/1/18,,A-113118184,https://android.googlesource.com/platform/system/update_engine/+/840a7eae5a6d8250490e8ea430193531f0c4ccd6,RCE,Critical,9,,,"In ParsePayloadHeader of payload_metadata.cc, there is a possible out of bounds write due to an integer overflow. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android. Versions: Android-9. Android ID: A-113118184.",Android-9,2018-12-06T14:29:01.500,2019-11-13T16:29:25.540,CWE-190,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Integer Overflow or Wraparound,2018-12-01
CVE-2018-9556,18-Dec,,2018,12,2018-12-01,644,2018,12,12/1/18,,A-113118184,https://android.googlesource.com/platform/system/update_engine/+/840a7eae5a6d8250490e8ea430193531f0c4ccd6,RCE,Critical,9,,,"In ParsePayloadHeader of payload_metadata.cc, there is a possible out of bounds write due to an integer overflow. This could lead to remote escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android. Versions: Android-9. Android ID: A-113118184.",Android-9,2018-12-06T14:29:01.500,2019-11-13T16:29:25.540,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2018-12-01
CVE-2018-9523,18-Dec,,2018,12,2018-12-01,872,2018,11,11/5/18,,A-112859604,https://android.googlesource.com/platform/frameworks/base/+/6a947f048a76a5936fd2b693e01f849aef22c907,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,"In Parcel.writeMapInternal of Parcel.java, there is a possible parcel serialization/deserialization mismatch due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Product: Android. Versions: Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android-9. Android ID: A-112859604","Android-7, Android-7, Android-7, Android-8, Android-8, Android-9",2018-11-14T18:29:00.557,2018-12-27T14:22:18.807,CWE-20,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Input Validation,2018-11-01
CVE-2017-15818,18-Dec,,2018,12,2018-12-01,873,2018,11,11/5/18,,"A-68992408,,QC-CR#2078580",https://source.codeaurora.org/quic/la/kernel/lk/commit/?id=abe4f7042cbdef928ffc152335a17150fb39b096,,High,,EcoSystem,,"In all android releases (Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, while loading a user application in qseecom, an integer overflow could potentially occur if the application partition size is rounded up to page_size.",,2018-09-18T18:29:00.270,2018-11-12T11:29:00.283,CWE-190,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2018-11-01
CVE-2018-11995,18-Dec,,2018,12,2018-12-01,874,2018,11,11/5/18,,"A-71501677,,QC-CR#2129639",https://source.codeaurora.org/quic/la/abl/tianocore/edk2/commit/?id=e3688be47d2b72f130f90dafd24b5f5acc4684ca,,High,,Bootloader,,"In all android releases(Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, a partition name-check variable is not reset for every iteration which may cause improper termination in the META image.",,2018-11-27T16:29:01.333,2018-12-21T16:59:17.917,CWE-119,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-11-01
CVE-2018-11905,18-Dec,,2018,12,2018-12-01,875,2018,11,11/5/18,,"A-112277889,,QC-CR#2090797",https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=0cdcf0409bdad7ed91c11d7715c89acc2e521e96,,High,,DSP_Services,,"In all android releases(Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, Possible buffer overflow in WLAN function due to lack of input validation in values received from firmware.",,2018-12-07T14:29:00.633,2019-01-02T18:30:24.970,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-11-01
CVE-2018-11905,18-Dec,,2018,12,2018-12-01,1078,2019,04,4/5/19,,"A-112277221,,QC-CR#2146878",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=97007de412e17589e6b00c7c8a03f645004fd0c0,,High,,WLAN HOST,,"In all android releases(Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, Possible buffer overflow in WLAN function due to lack of input validation in values received from firmware.",,2018-12-07T14:29:00.633,2019-01-02T18:30:24.970,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2019-04-01
CVE-2018-11905,19-May,,2019,05,2019-05-01,875,2018,11,11/5/18,,"A-112277889,,QC-CR#2090797",https://source.codeaurora.org/quic/la/kernel/msm-4.4/commit/?id=0cdcf0409bdad7ed91c11d7715c89acc2e521e96,,High,,DSP_Services,,"In all android releases(Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, Possible buffer overflow in WLAN function due to lack of input validation in values received from firmware.",,2018-12-07T14:29:00.633,2019-01-02T18:30:24.970,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-11-01
CVE-2018-11905,19-May,,2019,05,2019-05-01,1078,2019,04,4/5/19,,"A-112277221,,QC-CR#2146878",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=97007de412e17589e6b00c7c8a03f645004fd0c0,,High,,WLAN HOST,,"In all android releases(Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, Possible buffer overflow in WLAN function due to lack of input validation in values received from firmware.",,2018-12-07T14:29:00.633,2019-01-02T18:30:24.970,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2019-04-01
CVE-2016-10502,18-Dec,,2018,12,2018-12-01,879,2018,11,11/5/18,,A-68326808,,,High,,Closed-source component,,"While generating trusted application id, An integer overflow can occur giving the trusted application an invalid identity in Snapdragon Mobile and Snapdragon Wear in versions MDM9206, MDM9607, MDM9650, SD 210/SD 212/SD 205, SD 835 and SDA660.",,2018-12-10T14:29:00.230,2019-01-03T19:59:50.477,CWE-190,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Integer Overflow or Wraparound,2018-11-01
CVE-2017-18316,18-Dec,,2018,12,2018-12-01,880,2018,11,11/5/18,,A-78240714,,,High,,Closed-source component,,"Secure application can access QSEE kernel memory through Ontario kernel driver in Snapdragon Automobile, Snapdragon Mobile and Snapdragon Wear in versions MDM9206, MDM9607, MDM9650, MSM8996AU, SD 210/SD 212/SD 205, SD 425, SD 430, SD 450, SD 625, SD 820, SD 820A, SD 835, SD 845, SD 850, SDA660, SDA845, SDX24, SXR1130.",,2018-11-28T15:29:00.283,2019-10-03T00:03:26.223,NVD-CWE-noinfo,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,,2018-11-01
CVE-2017-18318,18-Dec,,2018,12,2018-12-01,881,2018,11,11/5/18,,A-78240675,,,High,,Closed-source component,,"Missing validation check on CRL issuer name in Snapdragon Automobile, Snapdragon Mobile in versions MSM8996AU, SD 410/12, SD 425, SD 430, SD 450, SD 625, SD 650/52, SD 810, SD 820, SD 820A.",,2018-11-28T15:29:00.377,2018-12-26T15:36:40.837,CWE-20,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Input Validation,2018-11-01
